,roc_auc,pr_auc,f1,precision,recall,accuracy
none,0.7961855219477628,0.5096664404876066,0.49624060150375937,0.4074074074074074,0.6346153846153846,0.998325
poly,0.7207735440688281,0.3848702065383409,0.36129032258064514,0.27184466019417475,0.5384615384615384,0.997525
binning,0.7692105506389075,0.2527169799367972,0.3037974683544304,0.22641509433962265,0.46153846153846156,0.99725
poly_binning,0.9331857376127426,0.3565604459009694,0.49635036496350365,0.4,0.6538461538461539,0.998275
vif_binning,0.8094072775377221,0.019017105270141225,0.0,0.0,0.0,0.998675
mi_filter,0.8384512847470944,0.006495892618225705,0.028985507246376812,0.058823529411764705,0.019230769230769232,0.998325
